Role,Kind,Character,Profile,CaseId,DisplayName,Category,ExecutionMode,Status,Expected,Actual,Details
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.prestige.blooming_wound","스킬 완전 시나리오: 만개하는 상처","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.prestige.backs_to_wall","스킬 완전 시나리오: 배수진","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","coverage.skill.olaf.prestige.bursting_madness","스킬 완전 시나리오: 터뜨리는 광기","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.data.core_references","Core 데이터 참조","Data","DataOnly","Pass","필수 Core 참조가 모두 연결됨","Bundle/Data/Loadout/Prefab 연결 정상",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.data.prefab_compatibility","Prefab·Bundle 호환성","Data","DataOnly","Pass","Bundle Kind와 표준 Prefab Component가 호환됨","Olaf 호환 정상",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.data.loadout_integrity","스킬 장착·슬롯 노출","Data","DataOnly","Pass","카테고리 한도·타입·슬롯 노출 정상","일반 3, 결투 2, 도사림 3, 위세 1",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.data.skill_definitions","SkillDefinition 무결성","Data","DataOnly","Pass","모든 SkillDefinition ID와 Runtime 생성 정상","11개 스킬 정상",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.presentation.timeline_and_animator","Timeline·Animator 연결","Presentation","DataOnly","Pass","Animator·Presentation·Timeline 연결 정상","Presentation 검증 통과",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.runtime.initialization","격리 런타임 초기화","Boundary","IsolatedRuntime","Pass","Isolated BattleContext 초기화와 메커닉 구독 성공","올라프 / Initialized=True / HP=720/720 / Block=0 / Prestige=0 / Resources=Energy:3 / Parts=[HEAD 180/180 Normal, LEFT_HAND 180/180 Normal, RIGHT_HAND 180/180 Normal, LEGS 180/180 Normal]",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.runtime.body_parts","부위 런타임 상태","Status","IsolatedRuntime","Pass","부위 Owner·HP·타입·초기 상태 정상","4개 부위 정상",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.runtime.skill_binding","런타임 스킬 바인딩","Data","IsolatedRuntime","Pass","모든 장착 스킬 생성 및 RuntimeSkill ID 중복 없음","11개 RuntimeSkill / 11개 고유 SkillId",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.runtime.deterministic_random","결정론적 굴림 재현","Boundary","IsolatedRuntime","Pass","동일 Seed·Sample은 동일 RollResult","🎲 3 + 4",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.data.verification_manifest","Core 3 전체 검증 Case 폐쇄성","Data","DataOnly","Pass","Core 3 공통/고유/스킬별 Case가 모두 존재","Expected=41, Actual=41, Skills=11",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.data.skill_manifest","Core 3 스킬 수·ID 완전성","Data","DataOnly","Pass","스킬 11개·고유 ID·RuntimeSkill 생성","Definitions=11, UniqueIds=11, Expected=11",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.data.phase_contract","스킬 타입 ↔ 실행 페이즈 계약","Boundary","DataOnly","Pass","Prestige=PRETURN / Preparation=FORESIGHT / Normal·Duel=COMBAT","11개 스킬 일치",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.runtime.bodypart_skill_access","부위별 스킬 접근 계약","Boundary","IsolatedRuntime","Pass","HEAD 전체 / 양팔 일반·결투 / LEGS 도사림","Policy + GetSelectableSkills 일치",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.runtime.shared_bodypart_speed","동일 부위 다중 슬롯 공유 속도","Boundary","IsolatedRuntime","Pass","동일 BodyPart의 모든 ActionIndex는 같은 Speed","Part=HEAD, ConfigurePreserved=True, 10=>True, 13=>True, Final=13/13",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.runtime.preparation_plan_cancel","도사림 계획·에너지 예약·취소","Preparation","IsolatedRuntime","Pass","START 전 계획만 등록·취소 가능·FORESIGHT 큐 실행","Skill=웅크리기, Part=LEGS, Add/Remove/ReAdd=True/True/True, Energy=3->3->3, Reserved=0->0, QueuePreparation=1",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.runtime.preparation_replace","도사림 동일 슬롯 교체 계약","Preparation","IsolatedRuntime","Pass","도사림 교체는 동일 ActionSlot 수정 / 최종 예약만 유지","웅크리기->노려보기, Slots=1, ActionId=1->1, Reserved=1/1, Energy=3->3",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","core3.runtime.unique_gauge","캐릭터 고유 게이지 계약","UI","IsolatedRuntime","Pass","고유 게이지 광기 / 0..1 / 표시값","Label=광기, Normalized=0, Value=0/10",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.data.skill_coverage","올라프 스킬 ID 전체 등록","Data","DataOnly","Pass","올라프 고유 스킬 ID 11개 존재","11/11 등록",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.data.dice_runtime_resolution","공용 BasePlusRoll 실제 굴림","Boundary","IsolatedRuntime","Pass","BasePlusRoll=BasePower+RNG, AbsoluteRange=기존 최종 범위","Base=13, BasePlusLow=Base=13, Raw=1, Final=14, Dice=1~1, BasePlusHigh=Base=13, Raw=8, Final=21, Dice=8~8, Absolute=Base=0, Raw=6, Final=6, Dice=6~6",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.presentation.dice_visual_sides","D6·D8 주사위 면수 연출","Presentation","IsolatedRuntime","Pass","1~6=D6 눈 연출, 1~8=D8 숫자 연출과 실제 다각형 메시","D6=6면/Pips=True/Mesh=7v,18i, D8=8면/Pips=False/Mesh=9v,24i",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.passive.mechanic_registration","광기·배수진 메커닉 등록","Passive","IsolatedRuntime","Pass","광기·배수진 메커닉 생성 및 등록","Madness=Registered, ImmortalFury=Registered",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.passive.madness_boundary","광기 경계값·만개","Boundary","IsolatedRuntime","Pass","광기 0~10 Clamp, 10에서 만개","Madness=10, Bloom=True",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.passive.madness_roll_modifier","광기 판정 보정","Passive","IsolatedRuntime","Pass","광기 5당 판정 +1","10→11→12",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.duel.standard_explosion_once_per_action","표준 혈상 폭발 행동당 1회","Duel","IsolatedRuntime","Pass","첫 교환 폭발·동일 행동 추가 폭발 차단·ActionEnd 후 재허용","HP=1000→880→880→760, Part=1000→880→880→760, SecondBleed=12",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.duel.one_sided_unique_effects_disabled","표준·난도질 일방 고유효과 차단","Duel","IsolatedRuntime","Pass","표준·난도질 일방 공격에서 고유 혈상·광기 0","olaf.duel.standard: Bleeding=0, Madness=0 / olaf.duel.rend: Bleeding=0, Madness=0",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.prestige.madness_consume","광기 소모 피해","Prestige","IsolatedRuntime","Pass","광기 7 × 5 = 35, 미소모/소모 정책 정상","Preview=35, Consume=35, Remain=0",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","olaf.prestige.backs_to_wall_lifecycle","배수진 생존·턴 종료","Prestige","IsolatedRuntime","Pass","배수진 중 생존·파괴 차단, TurnEnd 해제","Active policy PASS / TurnEnd release PASS",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.live.scene_binding@Olaf_MixedBattle","실전 Scene UI·전투 연결 · Olaf_MixedBattle","UI","LiveScene","Pass","실전 Roster 캐릭터와 전투 연결 정상","PLAYER · 올라프 / 11개 스킬",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","live.autobattle.full_match@Olaf_MixedBattle","실전 스모크 전투 · Olaf_MixedBattle","Boundary","LiveScene","Pass","실제 Roster에 참가한 Character가 승률 자동계획 전투를 정상 종료하거나 검증용 5턴 구간을 완주","실전 스모크 구간 정상 완료 · 5턴","Outcome=TURN_BUDGET_COMPLETE
Turns=5
AnalysisTurnBudgetReached=True
BlockedDamageAttempts=21
MaxConsecutiveNoStateProgressTurns=0
WinRatePlanAttempts=5
SuccessfulWinRatePlans=5
FallbackPlanCount=0
PlannedActionCount=20
PlayerSkillUsage=4/11
UsedPlayerSkills=노려보기<olaf.preparation.glare>, 표준<olaf.duel.standard>, 마구잡이<olaf.normal.wild_hack>, 버티며 베기<olaf.normal.enduring_slash>
ObservedParticipantSkills=올라프:노려보기<olaf.preparation.glare>, 정예 몹:정예병의 압박(결투)<5fb3b00e68684389a86c92f3e0345061>, 올라프:표준<olaf.duel.standard>, 올라프:마구잡이<olaf.normal.wild_hack>, 훈련용 일반 적:달려들기<test_normal_lunge>, 올라프:버티며 베기<olaf.normal.enduring_slash>, 정예 몹:정예병의 참격(일반공격)<5a239ec7d4944c458ac5329511091871>
RuntimeErrors=0
RuntimeWarnings=28
CriticalInvariants=0
RequestedTimeScale=30
ElapsedMilliseconds=52615
Participants=올라프, 정예 몹, 훈련용 일반 적
WarningSamples=Warning: [VFX VALIDATION] Prefab 누락 / Definition=Olaf_Duel_BloodSplash_VFX @ UnityEngine.Debug:LogWarning (object,UnityEngine.Object)"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","live.autobattle.character_skill_observation@Olaf_MixedBattle","실전 Character 스킬 실행 관찰 · Olaf_MixedBattle","Boundary","LiveScene","Pass","플레이어/적 구분 없이 해당 Character가 실제 ActionStart를 최소 1회 발생","4개 고유 Skill ActionStart 관찰","Observed=올라프:노려보기<olaf.preparation.glare>, 올라프:표준<olaf.duel.standard>, 올라프:마구잡이<olaf.normal.wild_hack>, 올라프:버티며 베기<olaf.normal.enduring_slash>
모든 후보 스킬의 개별 계약은 Isolated skill coverage가 담당하고, 이 Case는 실제 CameraTest AI/행동 파이프라인에서 캐릭터가 행동했는지를 검증합니다."
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","generic.live.scene_binding@Olaf_BossBattle","실전 Scene UI·전투 연결 · Olaf_BossBattle","UI","LiveScene","Pass","실전 Roster 캐릭터와 전투 연결 정상","PLAYER · 올라프 / 11개 스킬",""
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","live.autobattle.full_match@Olaf_BossBattle","실전 스모크 전투 · Olaf_BossBattle","Boundary","LiveScene","Pass","실제 Roster에 참가한 Character가 승률 자동계획 전투를 정상 종료하거나 검증용 5턴 구간을 완주","실전 스모크 구간 정상 완료 · 5턴","Outcome=TURN_BUDGET_COMPLETE
Turns=5
AnalysisTurnBudgetReached=True
BlockedDamageAttempts=28
MaxConsecutiveNoStateProgressTurns=0
WinRatePlanAttempts=5
SuccessfulWinRatePlans=5
FallbackPlanCount=0
PlannedActionCount=20
PlayerSkillUsage=5/11
UsedPlayerSkills=노려보기<olaf.preparation.glare>, 내려찍기<olaf.normal.overhead_smash>, 표준<olaf.duel.standard>, 마구잡이<olaf.normal.wild_hack>, 버티며 베기<olaf.normal.enduring_slash>
ObservedParticipantSkills=훈련용 보스:전투 태세(도사림)<356e72e97ac84a3a8757d1a188237f43>, 올라프:노려보기<olaf.preparation.glare>, 훈련용 보스:정예병의 압박(결투)<5fb3b00e68684389a86c92f3e0345061>, 올라프:내려찍기<olaf.normal.overhead_smash>, 훈련용 보스:정예병의 참격(일반공격)<5a239ec7d4944c458ac5329511091871>, 올라프:표준<olaf.duel.standard>, 올라프:마구잡이<olaf.normal.wild_hack>, 올라프:버티며 베기<olaf.normal.enduring_slash>
RuntimeErrors=0
RuntimeWarnings=13
CriticalInvariants=0
RequestedTimeScale=30
ElapsedMilliseconds=44224
Participants=올라프, 훈련용 보스
WarningSamples=Warning: [VFX VALIDATION] Prefab 누락 / Definition=Burn_Tick_VFX @ UnityEngine.Debug:LogWarning (object,UnityEngine.Object) || Warning: [VFX VALIDATION] Prefab 누락 / Definition=Olaf_Duel_BloodSplash_VFX @ UnityEngine.Debug:LogWarning (object,UnityEngine.Object)"
"PLAYABLE/CHARACTER","Olaf","올라프","올라프_Verification","live.autobattle.character_skill_observation@Olaf_BossBattle","실전 Character 스킬 실행 관찰 · Olaf_BossBattle","Boundary","LiveScene","Pass","플레이어/적 구분 없이 해당 Character가 실제 ActionStart를 최소 1회 발생","5개 고유 Skill ActionStart 관찰","Observed=올라프:노려보기<olaf.preparation.glare>, 올라프:내려찍기<olaf.normal.overhead_smash>, 올라프:표준<olaf.duel.standard>, 올라프:마구잡이<olaf.normal.wild_hack>, 올라프:버티며 베기<olaf.normal.enduring_slash>
모든 후보 스킬의 개별 계약은 Isolated skill coverage가 담당하고, 이 Case는 실제 CameraTest AI/행동 파이프라인에서 캐릭터가 행동했는지를 검증합니다."
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.manifest.closed_world","완전 커버리지 명세 폐쇄성","Data","DataOnly","Pass","모든 기능이 폐쇄형 검증 카탈로그에 등록됨","PASS / Skills=12, Effects=0","Skills=12
Effects=0
RequiredMechanics=YujinMechanic"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.mechanics.forced_scenarios","패시브·메커닉 강제 시나리오","Passive","IsolatedRuntime","Pass","모든 필수 패시브 메커닉의 강제 이벤트 시나리오 통과","PASS / Mechanics=3","유진 Baeku 표식 44 발화 PASS
유진 Jeokseol 표식 44 발화 PASS
유진 Nakil 표식 44 발화 PASS
유진 추격 Baeku 상한 1Hit PASS / Sense 4->3 / HP 720->697
유진 추격 Jeokseol 상한 2Hit PASS / Sense 6->4 / HP 720->662
유진 추격 Nakil 상한 5Hit PASS / Sense 10->5 / HP 720->500
유진 3무기 앞/뒷면 위력표 및 TurnStart 감 PASS
환형의 흐름 WeaponChanged 이벤트 PASS / 기본+1 + 패시브+1
유진 포착 앞면 확률 +10%·TurnEnd 초기화 PASS
유진 양형 뒷면 위력 +2·TurnEnd 초기화 PASS
유진 검분 적중 표식 기본량 PASS
유진 조식 적중 살수의 감 +1 PASS
유진 각인 결투 승리 표식 2배 PASS
유진 낙인 즉시 치명 수치 표식·후속 적중 +3 PASS
유진 연대책임 최초1+파괴/처치 연계 최대4 PASS
유진 재심 교환당 무료 1회·감 미소모·TurnEnd 해제 PASS"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.normal.inspection","스킬 완전 시나리오: 검분","NormalAttack","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->3, Prestige 100->100
Roll[0]=🪙 앞(22)
Roll[1]=🪙 뒤(14)
Roll[2]=🪙 앞(22)
DamageTarget PASS: 180->179 / 유진/HEAD"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.normal.breakfast","스킬 완전 시나리오: 조식","NormalAttack","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->1, Prestige 100->100
Roll[0]=🪙 앞(22)
Roll[1]=🪙 뒤(16)
Roll[2]=🪙 앞(22)
DamageTarget PASS: 180->179 / 유진/HEAD"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.duel.inscription","스킬 완전 시나리오: 각인","Duel","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🪙 앞(23)
Roll[1]=🪙 뒤(15)
Roll[2]=🪙 앞(23)
DamageTarget PASS: 180->179 / 유진/HEAD"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.duel.pursuit","스킬 완전 시나리오: 추격","Duel","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=3, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🪙 앞(23)
Roll[1]=🪙 뒤(15)
Roll[2]=🪙 앞(23)
DamageTarget PASS: 180->179 / 유진/HEAD"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.preparation.sentencing","스킬 완전 시나리오: 양형","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.preparation.capture","스킬 완전 시나리오: 포착","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.preparation.hwanhyeong.nakil","스킬 완전 시나리오: 환형 · 낙일","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0
Precondition: 환형 Baeku->Nakil 실행 상태 구성"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.preparation.hwanhyeong.baeku","스킬 완전 시나리오: 환형 · 백우","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0
Precondition: 환형 Jeokseol->Baeku 실행 상태 구성"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.preparation.hwanhyeong.jeokseol","스킬 완전 시나리오: 환형 · 적설","Preparation","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->2, Prestige 100->100
Roll[0]=🎲 0
Precondition: 환형 Baeku->Jeokseol 실행 상태 구성"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.prestige.brand","스킬 완전 시나리오: 낙인","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.prestige.joint_liability","스킬 완전 시나리오: 연좌","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","coverage.skill.yujin.prestige.retrial","스킬 완전 시나리오: 재심","Prestige","IsolatedRuntime","Pass","자원·굴림·대상·모든 효과 Entry 강제 실행","PASS / Rolls=1, Effects=0","Resource PASS: Energy 3->3, Prestige 100->0
Roll[0]=🎲 0"
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.data.core_references","Core 데이터 참조","Data","DataOnly","Pass","필수 Core 참조가 모두 연결됨","Bundle/Data/Loadout/Prefab 연결 정상",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.data.prefab_compatibility","Prefab·Bundle 호환성","Data","DataOnly","Pass","Bundle Kind와 표준 Prefab Component가 호환됨","Yujin 호환 정상",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.data.loadout_integrity","스킬 장착·슬롯 노출","Data","DataOnly","Pass","카테고리 한도·타입·슬롯 노출 정상","일반 2, 결투 2, 도사림 3, 위세 1",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.data.skill_definitions","SkillDefinition 무결성","Data","DataOnly","Pass","모든 SkillDefinition ID와 Runtime 생성 정상","12개 스킬 정상",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.presentation.timeline_and_animator","Timeline·Animator 연결","Presentation","DataOnly","Pass","Animator·Presentation·Timeline 연결 정상","Presentation 검증 통과",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.runtime.initialization","격리 런타임 초기화","Boundary","IsolatedRuntime","Pass","Isolated BattleContext 초기화와 메커닉 구독 성공","유진 / Initialized=True / HP=720/720 / Block=0 / Prestige=0 / Resources=Energy:3 / Parts=[HEAD 180/180 Normal, LEFT_HAND 180/180 Normal, RIGHT_HAND 180/180 Normal, LEGS 180/180 Normal]",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.runtime.body_parts","부위 런타임 상태","Status","IsolatedRuntime","Pass","부위 Owner·HP·타입·초기 상태 정상","4개 부위 정상",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.runtime.skill_binding","런타임 스킬 바인딩","Data","IsolatedRuntime","Pass","모든 장착 스킬 생성 및 RuntimeSkill ID 중복 없음","12개 RuntimeSkill / 12개 고유 SkillId",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","generic.runtime.deterministic_random","결정론적 굴림 재현","Boundary","IsolatedRuntime","Pass","동일 Seed·Sample은 동일 RollResult","🎲 3 + 4",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","core3.data.verification_manifest","Core 3 전체 검증 Case 폐쇄성","Data","DataOnly","Pass","Core 3 공통/고유/스킬별 Case가 모두 존재","Expected=43, Actual=43, Skills=12",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","core3.data.skill_manifest","Core 3 스킬 수·ID 완전성","Data","DataOnly","Pass","스킬 12개·고유 ID·RuntimeSkill 생성","Definitions=12, UniqueIds=12, Expected=12",""
"PLAYABLE/CHARACTER","Yujin","유진","유진_Verification","core3.data.phase_contract","스킬 타입 ↔ 실행 페이즈 계약","Boundary","DataOnly","Pass","Prestige=PRETURN / Preparation=FORESIGHT / Normal·Duel=COMBAT","12개 스킬 일치",""
